id,type,genres,average_rating,num_votes
3581,tvSeries,"Drama,Thriller",7.9,790
3582,movie,"Drama,Romance",7.1,139408
3583,movie,"Drama,Mystery,Sci-Fi",6.2,15632
3584,tvSeries,"Comedy,Drama,Family",9.1,3785
3585,tvSeries,"Comedy,Drama,Romance",8.1,1641
3586,tvEpisode,"Crime,Drama,Mystery",8.5,1277
3587,tvMiniSeries,"Drama,Fantasy,Mystery",6.5,5466
3588,tvEpisode,Drama,7.9,167
3589,movie,"Action,Adventure,Horror",5.8,163042
3590,movie,"Documentary,Music",8.0,389
3591,tvEpisode,"Comedy,News,Talk-Show",6.8,16
3592,movie,Drama,6.5,411
3593,movie,Documentary,7.1,352
3594,movie,"Comedy,Romance",5.4,6622
3595,short,"Documentary,Short,Sport",7.0,391
3596,movie,Drama,7.3,1430
3597,movie,"Crime,Drama,Thriller",6.2,487
3598,tvMiniSeries,"Drama,Mystery,Thriller",7.0,6896
3599,tvEpisode,"Crime,Documentary,Drama",7.2,135
3600,movie,"Action,Comedy",7.0,3489
3601,tvEpisode,Drama,8.9,9
3602,movie,Drama,7.3,135
3603,tvEpisode,"Action,Adventure,Drama",8.9,4555
3604,tvEpisode,"Action,Adventure,Animation",6.8,8
3605,movie,"Action,Horror,Thriller",6.4,37287
3606,movie,"Action,Crime,Drama",5.3,3763
3607,movie,"Horror,Romance",5.2,221
3608,movie,"Action,Crime,Thriller",5.7,3766
3609,movie,Documentary,7.4,1095
3610,movie,"Action,Adventure,Sci-Fi",5.2,8566
3611,movie,"Drama,Romance",7.3,199525
3612,movie,"Comedy,Drama,Romance",5.7,486
3613,movie,"Comedy,Documentary",8.1,4645
3614,tvSeries,Comedy,3.3,832
3615,tvSpecial,Comedy,8.0,15494
3616,movie,Family,4.3,171
3617,movie,"Comedy,Drama,Music",5.5,272
3618,movie,"Crime,Drama,Mystery",6.0,85223
3619,movie,"Action,Adventure,Comedy",5.2,18501
3620,tvSeries,"Action,Adventure,Animation",8.2,61
3621,movie,Action,5.2,2928
3622,short,"Documentary,Short",6.0,10
3623,movie,"Drama,Family",5.5,3022
3624,tvMiniSeries,"Documentary,Drama,History",8.0,18894
3625,movie,"Drama,Horror,Thriller",3.5,400
3626,movie,Drama,4.7,32
3627,tvSeries,Drama,8.5,472
3628,movie,"Comedy,Drama",5.8,4178
3629,movie,"Documentary,Sport",8.1,1274
3630,movie,"Documentary,Sport",7.3,113
3631,movie,"Crime,Drama",6.2,773
3632,movie,"Documentary,Music",7.1,3145
3633,movie,"Action,Drama",7.0,111
3634,movie,Documentary,7.7,549
3635,movie,"Drama,Romance,Thriller",6.1,221
3636,video,Comedy,4.9,11482
3637,tvSpecial,Comedy,5.5,605
3638,tvMovie,Documentary,6.7,143
3639,movie,"Action,Adventure,History",3.8,1739
3640,tvSeries,"Action,Adventure,Animation",8.5,3441
3641,tvSeries,Animation,6.1,69
3642,movie,Documentary,5.7,3480
3643,movie,"Drama,Music",7.7,20973
3644,tvMovie,"Action,Adventure,Animation",7.0,3510
3645,movie,"Drama,Sport",8.1,524934
3646,movie,"Action,Crime,Drama",6.8,7463
3647,movie,"Drama,Sport",7.3,194243
3648,movie,"Drama,Sport",6.8,176562
3649,movie,"Drama,Sport",6.9,189603
3650,movie,"Drama,Sport",5.3,128478
3651,tvSpecial,"Comedy,Documentary",4.4,138
3652,tvSpecial,"Comedy,Drama",5.8,523
3653,movie,"Action,Crime,Drama",6.1,6792
3654,movie,"Action,War",2.7,1155
3655,movie,Drama,3.5,404
3656,movie,"Crime,Documentary",7.1,2034
3657,movie,Documentary,8.4,69
3658,movie,"Biography,Documentary,News",6.2,468
3659,movie,Drama,7.7,143050
3660,movie,"Drama,Romance",6.4,494
3661,tvSeries,Romance,8.1,3220
3662,movie,"Comedy,Romance",5.3,4842
3663,movie,"Action,Drama,Thriller",6.6,4965
3664,movie,"Horror,Thriller",2.2,2018
3665,tvSpecial,Comedy,6.5,725
